Artikel,Bezeichnung,Preis_CHF,Einheit,Bemerkung
SIBOX-S1,SIBOX S1 Schlüsseldepot Edelstahl,450.00,Stk,exkl. Zylinder exkl. MwSt.
SIBOX-S3,SIBOX S3 Schlüsseldepot Edelstahl,650.00,Stk,exkl. Zylinder exkl. MwSt.
SIBOX-S6,SIBOX S6 Schlüsseldepot Edelstahl,850.00,Stk,exkl. Zylinder exkl. MwSt.
SIBOX-PRO,SIBOX Pro Hochsicherheits-Schlüsseldepot,1250.00,Stk,inkl. Keso 8000 Zylinder exkl. MwSt.
ZYL-KESO-STD,Keso 2000 S Omega Profilzylinder 30/30mm,120.00,Stk,inkl. 3 Schlüssel
ZYL-KESO-30-40,Keso 2000 S Omega Profilzylinder 30/40mm,135.00,Stk,inkl. 3 Schlüssel
ZYL-KESO-8000,Keso 8000 Omega² Hochsicherheitszylinder,280.00,Stk,inkl. 3 Schlüssel
ZYL-KABA-STD,Kaba Star Plus Profilzylinder 30/30mm,135.00,Stk,inkl. 3 Schlüssel
ZYL-SEA-STD,SEA Profilzylinder 30/30mm,85.00,Stk,inkl. 2 Schlüssel
SCHL-ZUSATZ,Zusatzschlüssel (je nach System),35.00,Stk,Bestellung mit Originalkarte
MONT-STD,Montage SIBOX Standard,180.00,Stk,inkl. Anfahrt Rapperswil-Jona Region
MONT-FERN,Montage SIBOX Fernstandort,280.00,Stk,ab 30 km Entfernung
DACH-SCHUTZ,Aufputz-Schutzdach für SIBOX,45.00,Stk,
BESCHRIFT,Beschriftung/Gravur SIBOX,15.00,Stk,
